fold,accuracy,precision,recall,roc_auc
0,0.9622132253711201,0.9622132253711201,0.9622132253711201,0.9978593355705873
0,0.06994121362289268,0.06994121362289268,0.06994121362289268,0.5873755619131262
1,0.9676113360323887,0.9676113360323887,0.9676113360323887,0.9991113800621386
1,0.021603078657363318,0.021603078657363318,0.021603078657363318,0.5092873238304176
2,0.9723346828609987,0.9723346828609987,0.9723346828609987,0.9978141068619576
2,0.018677511673444797,0.018677511673444797,0.018677511673444797,0.5379457533126762
3,0.9676113360323887,0.9676113360323887,0.9676113360323887,0.9975791216355574
3,0.018713518476684617,0.018713518476684617,0.018713518476684617,0.5821007064375259
4,0.975033738191633,0.975033738191633,0.975033738191633,0.9990106453943234
4,0.05032081951048917,0.05032081951048917,0.05032081951048917,0.560250909934476
None,0.968960863697706,0.968960863697706,0.968960863697706,0.9982749179049127
None,0.004414420306017866,0.004414420306017866,0.004414420306017866,0.9982749179049127
None,0.035851228388174915,0.035851228388174915,0.035851228388174915,0.5553920510856444
None,0.020799728739144898,0.020799728739144898,0.020799728739144898,0.5553920510856444
